"","PartID","mean_rt","rt_slope","rt_slope_scale","hit_rate","miss_rate","correct_rejection","false_alarm","dprime","Subgroup"
"1","ABCD_1702",478.404,7.98,0.04,0.92,0.08,0.83,0.17,2.35923674619106,"TYP"
"2","ABCD_1703",330.494,6.774,0.024,0.38,0.62,0.84,0.16,0.688977068846783,"TYP"
"3","ABCD_1705",457.524,32.07,0.189,0.15,0.85,0.97,0.03,0.844360175768232,"TYP"
"4","ABCD_1708",339.341,-3.961,-0.014,0.58,0.42,0.73,0.27,0.814706444576091,"TYP"
"5","ABCD_1709",344.341,1.466,0.009,0.75,0.25,0.86,0.14,1.75480905954239,"TYP"
"6","ABCD_1710",435.757,8.636,0.031,0.42,0.58,0.82,0.18,0.713471583118576,"TYP"
"7","ABCD_1711",363.899,5.9,0.019,0.58,0.42,0.8,0.2,1.04351468713238,"DD"
"8","ABCD_1714",543.546,-9.891,-0.035,0.42,0.58,0.84,0.16,0.792564378485515,"DD"
"9","ABCD_1716",278.493,-2.284,-0.008,0.96,0.04,0.93,0.07,3.22647698338676,"TYP"
"10","ABCD_1720",417.714,-4.366,-0.019,0.15,0.85,0.88,0.12,0.138553359683071,"TYP"
"11","ABCD_1721",248.123,0.455,0.003,0.92,0.08,0.84,0.16,2.39952937625461,"TYP"
"12","ABCD_1724",337.566,-10.658,-0.034,0.75,0.25,0.71,0.29,1.2278744382831,"TYP"
"13","ABCD_1725",241.853,1.645,0.007,0.48,0.52,0.9,0.1,1.23139795698204,"TYP"
"14","ABCD_1728",415.667,1.464,0.007,0.25,0.75,0.9,0.1,0.607061783879868,"TYP"
"15","ABCD_1729",466.667,-7.284,-0.027,0.31,0.69,0.94,0.06,1.05892321890421,"TYP"
"16","ABCD_1730",277.556,-7.61,-0.027,0.88,0.12,0.72,0.28,1.75782824934743,"TYP"
"17","ABCD_1732",376.618,3.432,0.012,0.65,0.35,0.81,0.19,1.26321673446088,"TYP"
"18","ABCD_1734",398.514,3.25,0.01,0.96,0.04,0.52,0.48,1.80083953867233,"TYP"
"19","ABCD_1735",389.128,5.95,0.019,0.27,0.73,0.89,0.11,0.613715098776113,"DD"
"20","ABCD_1736",373.475,2.644,0.012,0.88,0.12,0.9,0.1,2.45653830762081,"TYP"
"21","ABCD_1739",350.82,4.089,0.014,0.4,0.6,0.84,0.16,0.741110754190186,"TYP"
"22","ABCD_1742",572.483,-6.142,-0.037,0.96,0.04,0.91,0.09,3.09144098889781,"TYP"
"23","ABCD_1747",535.771,7.221,0.031,0.17,0.83,0.88,0.12,0.220821499402566,"TYP"
"24","ABCD_1749",258.667,1.527,0.006,0.48,0.52,0.81,0.19,0.827742686488667,"TYP"
"25","ABCD_1751",385.517,-1.798,-0.01,0.6,0.4,0.86,0.14,1.33366641806699,"DD"
"26","ABCD_1754",299.323,-1.765,-0.006,0.27,0.73,0.9,0.1,0.668738544284104,"TYP"
"27","ABCD_1756",202.929,8.028,0.04,0.25,0.75,0.94,0.06,0.88028381293212,"DD"
"28","ABCD_1764",463.838,-3.773,-0.014,0.69,0.31,0.73,0.27,1.10866331001889,"DD"
"29","ABCD_1767",482.857,-9.894,-0.033,0.15,0.85,0.86,0.14,0.0438859084319367,"DD"
"30","ABCD_1768",203.608,-3.814,-0.014,0.35,0.65,0.83,0.17,0.568844759740714,"DD"
"31","ABCD_1776",451.394,1.756,0.008,0.77,0.23,0.85,0.15,1.77528020574614,"DD"
"32","ABCD_1777",524.542,-1.048,-0.004,0.67,0.33,0.87,0.13,1.56630426709907,"DD"
"33","ABCD_1778",382.055,-4.554,-0.012,0.27,0.73,0.85,0.15,0.423620368233292,"DD"
"34","ABCD_1781",390.665,5.782,0.019,0.4,0.6,0.71,0.29,0.300037590536106,"DD"
"35","ABCD_1783",326.05,11.261,0.037,0.1,0.9,0.95,0.05,0.363302004426272,"TYP"
"36","ABCD_1784",498.704,-3.675,-0.017,0.56,0.44,0.88,0.12,1.3259559822093,"DD"
"37","ABCD_1787",270.425,5.475,0.018,0.48,0.52,0.79,0.21,0.756267638455678,"DD"
"38","ABCD_1788",385.424,1.041,0.006,0.1,0.9,0.96,0.04,0.469134448726969,"TYP"
"39","ABCD_1792",541.145,0.408,0.003,0.85,0.15,0.88,0.12,2.21142013867065,"DD"
"40","ABCD_1794",311.259,-3.968,-0.021,0.85,0.15,0.9,0.1,2.31798491214916,"DD"
